Club,Player,Total Appearances,Total Goals,Year
Olympique de Marseille,Franck Sauzée,7,5,1992/93
FC Barcelona,Hristo Stoichkov,6,5,1993/94
Paris Saint-Germain,George Weah,10,7,1994/95
AFC Ajax,Jari Litmanen,10,9,1995/96
Club Atlético de Madrid,Milinko Pantić,8,5,1996/97
Juventus,Alessandro Del Piero,10,10,1997/98
FC Dynamo Kyiv,Andriy Shevchenko,10,8,1998/99
Manchester United FC,Dwight Yorke,11,8,1998/99
FC Porto,Mário Jardel,13,10,1999/00
FC Barcelona,Rivaldo,14,10,1999/00
Real Madrid CF,Raúl González,15,10,1999/00
Real Madrid CF,Raúl González,12,7,2000/01
Manchester United FC,Ruud van Nistelrooy,14,10,2001/02
Manchester United FC,Ruud van Nistelrooy,9,12,2002/03
AS Monaco FC,Fernando Morientes,12,9,2003/04
Manchester United FC,Ruud van Nistelrooy,7,8,2004/05
AC Milan,Andriy Shevchenko,12,9,2005/06
AC Milan,Kaká,13,10,2006/07
Manchester United FC,Cristiano Ronaldo,11,8,2007/08
FC Barcelona,Lionel Messi,12,9,2008/09
FC Barcelona,Lionel Messi,11,8,2009/10
FC Barcelona,Lionel Messi,13,12,2010/11
FC Barcelona,Lionel Messi,11,14,2011/12
Real Madrid CF,Cristiano Ronaldo,12,12,2012/13
Real Madrid CF,Cristiano Ronaldo,11,17,2013/14
Real Madrid CF,Cristiano Ronaldo,12,10,2014/15
FC Barcelona,Neymar,12,10,2014/15
FC Barcelona,Lionel Messi,13,10,2014/15
Real Madrid CF,Cristiano Ronaldo,12,16,2015/16
Real Madrid CF,Cristiano Ronaldo,13,12,2016/17
Real Madrid CF,Cristiano Ronaldo,13,15,2017/18
FC Barcelona,Lionel Messi,10,12,2018/19
FC Bayern München,Robert Lewandowski,10,15,2019/20
Borussia Dortmund,Erling Haaland,8,10,2020/21
Real Madrid CF,Karim Benzema,12,15,2021/22
Manchester City FC,Erling Haaland,11,12,2022/23
